year,state,Auto,Bus,Truck,Motorcycle
1922,Utah,41942,0,7222,742
1922,Vermont,41241,0,2640,856
1922,Virginia,145000,0,23000,1850
1922,Washington,178775,0,31941,3846
1922,West Virginia,94940,0,18000,1361
1922,Wisconsin,356143,0,26399,5718
1922,Wyoming,27410,0,3227,304
1923,Alabama,112797,0,13845,599
1923,Alaska,0,0,0,0
1923,Arizona,43146,0,6565,392
1923,Arkansas,102000,0,11300,300
1923,California,944783,0,155500,14694
1923,Colorado,166256,0,22700,2473
1923,Connecticut,152608,0,29157,4450
1923,Delaware,24709,0,5268,467
1923,District of Columbia,67624,0,7187,1772
1923,Florida,128704,0,23531,975
1923,Georgia,151420,0,22469,1011
1923,Hawaii,0,0,0,0
1923,Idaho,57200,0,5179,655
1923,Illinois,847005,0,122521,7611
1923,Indiana,510114,0,73228,6042
1923,Iowa,536215,0,36905,3044
1923,Kansas,349038,0,26556,1950
1923,Kentucky,177834,0,20543,844
1923,Louisiana,116003,0,20619,400
1923,Maine,92995,0,15978,1400
1923,Maryland,145942,0,24374,4846
1923,Massachusetts,407645,0,67305,11033
1923,Michigan,659412,0,72318,4165
1923,Minnesota,399404,0,48783,3220
1923,Mississippi,93846,0,10440,114
1923,Missouri,430340,0,46258,2570
1923,Montana,65449,0,8379,374
1923,Nebraska,259382,0,26671,1608
1923,Nevada,13699,0,2000,112
1923,New Hampshire,52863,0,7412,1987
1923,New Jersey,341853,0,89349,8811
1923,New Mexico,26732,0,5300,215
1923,New York,1001974,0,205985,22153
1923,North Carolina,226288,0,21324,1300
1923,North Dakota,105979,0,3287,645
1923,Ohio,927200,0,141900,15000
1923,Oklahoma,288424,0,18576,823
1923,Oregon,145494,0,20500,3140
1923,Pennsylvania,880711,0,167461,19220
1923,Rhode Island,62382,0,13930,1575
1923,South Carolina,116193,0,11598,547
1923,South Dakota,121164,0,10536,471
1923,Tennessee,154181,0,19184,751
1923,Texas,640433,0,47800,3346
1923,Utah,51625,0,7900,766
1923,Vermont,49420,0,3356,839
1923,Virginia,188173,0,30919,1813
1923,Washington,221164,0,37100,3560
1923,West Virginia,137184,0,21000,1353
1923,Wisconsin,422718,0,34553,5645
1923,Wyoming,35294,0,4537,291
1924,Alabama,138574,0,18688,549
1924,Alaska,0,0,0,0
1924,Arizona,50233,0,7595,372
1924,Arkansas,125368,0,16615,295
1924,California,1145256,0,180000,12325
1924,Colorado,187647,0,25600,2226
1924,Connecticut,183562,0,33785,4211
1924,Delaware,29075,0,6061,325
1924,District of Columbia,78846,0,9916,1889
1924,Florida,160936,0,34192,733
1924,Georgia,181413,0,26275,750
1924,Hawaii,0,0,0,0
1924,Idaho,61600,0,7627,619
1924,Illinois,978428,0,140808,6873
1924,Indiana,566736,0,84969,4822
1924,Iowa,576704,0,41674,2597
1924,Kansas,370951,0,39940,1632
1924,Kentucky,206529,0,23275,724
1924,Louisiana,150900,0,27100,510
1924,Maine,108177,0,19421,1288
1924,Maryland,173215,0,25250,3462
1924,Massachusetts,488489,0,83626,10778
1924,Michigan,784778,0,83809,3644
1924,Minnesota,445437,0,58000,3080
1924,Mississippi,122117,0,12563,96
1924,Missouri,489356,0,51144,2139
1924,Montana,69824,0,9871,293
1924,Nebraska,277449,0,31266,1342
1924,Nevada,16236,0,1883,111
1924,New Hampshire,64170,0,7759,1750
1924,New Jersey,404929,0,99541,8053
1924,New Mexico,35380,0,6300,228
1924,New York,1181127,0,236012,19837
1924,North Carolina,276148,0,27480,1029
1924,North Dakota,112664,0,4682,509
1924,Ohio,1076800,0,164800,15000
1924,Oklahoma,342856,0,27047,733
1924,Oregon,169629,0,23000,2764
1924,Pennsylvania,1050465,0,178380,17540
1924,Rhode Island,78235,0,17247,1428
1924,South Carolina,147143,0,15172,477
1924,South Dakota,131190,0,11206,305
1924,Tennessee,183891,0,20789,682
1924,Texas,739439,0,62875,2634
1924,Utah,60362,0,8921,731
1924,Vermont,57072,0,4107,779
1924,Virginia,220302,0,41643,3000
1924,Washington,253888,0,41555,3164
1924,West Virginia,168563,0,22522,1407
1924,Wisconsin,475182,0,50039,3938
1924,Wyoming,38831,0,4808,252
1925,Alabama,171472,726,23630,524
1925,Alaska,0,0,0,0
1925,Arizona,59864,278,8876,359
1925,Arkansas,159516,175,24521,293
1925,California,1236880,0,222191,11760
1925,Colorado,205565,0,35530,1862
1925,Connecticut,213549,545,37936,4034
1925,Delaware,32657,0,7836,375
